Firm,Sponsoring/Fiscal Org,Firm Type,FNS number,Firm - Physical Address,Firm - Shipping/Mailing Address
Peoria RiverFront Market,Peoria RiverFront Association,Farmers Market,0236609,212 SW Water Street 200 Block of Water Street Peoria Illinois 61602 ,401 SW Water Street Suite 201C Peoria Illinois 61602 
Andersonville Farmers Market,Andersonville Development Corporation,Farmers Market,0258582,1500 W Catalpa Ave. Catalapa Ave. between Ashland Ave. and Clark St. Chicago Illinois 60640 ,5217 N Clark St 3rd floor Chicago Illinois 60640 
OId Capitol Farmers Market,Downtown Springfield Inc,Farmers Market,0354320,"4th and Adams across two city blocks, on the closed street Springfield Illinois 62701 ",3 W Old State Capitol Plaza Suite #15 Springfield Illinois 62701 
Palos Heights Farmers Market ,City of Palos Heights Farmers Market ,Farmers Market,0458965,12217 S Harlem Ave  parking lot  Palos Heights Illinois 60463 ,6601 W 127th Street Palos Heights Illinois 60463 
QC Farmers Market,QC Farmers Market Co,Farmers Market,0775653,17th st and 1st ave West lot of Schwiebert Park Rock Island Illinois 61240 ,7925 100th ave coal valley Illinois 61240 
Farm on Ogden,Chicago Horticultural Society-Chicago Botanic Garden-Windy City Harvest,Food Hub,0801317,3555 W Ogden Ave Indoor Market Chicago Illinois 60623 ,3555 W Ogden Ave Chicago Illinois 60623 
PCC Market,Chicago Horticultural Society-Chicago Botanic Garden-Windy City Harvest,Farm Stand,0715677,330 N Lotus On Farm Chicago Illinois 60644 ,3555 W Ogden Ave Chicago Illinois 60623 
Jo Daviess Local Foods,Jo Daviess Local Foods,Mobile Market,0762731,,3117 W. Mitchell Rd. Hanover Illinois 61041 
Downtown Bloomington Farmers' Market,City of Bloomington,Farmers Market,0736091,200 N. Main Street Bloomington  Illinois 61701 ,115 E. Washington St. Suite 201 Bloomington Illinois 61701 
Downtown Bloomington Indoor Farmers' Market,City of Bloomington,Farmers Market,0736091,101 S. Madison St. Bloomington Illinois 61701 ,115 E. Washington St. Suite 201 Bloomington Illinois 61701 
Batavia Farmers' Market,Batavia MainStreet,Farmers Market,0545028,"Outdoor Farmers' Market - North River Street, Batavia, IL 60510 - Indoor market 150 First Street, Batavia, IL 60510 Batavia Illinois 60510 ",5 E. Wilson Street Batavia Illinois 60510 
Rantoul Farmers Market,Rantoul Farmers Market,Farmers Market,0747905,200 E Congress Ave Intersection Garrard St and Congress Ave Rantoul Illinois 61866 ,449 Kendall Street Mahomet Illinois 61853 
Galesburg Farmers Market,Kathy Bennett dba Galesburg Farmers Market,Farmers Market,0809822,362 E. Simmons St Galesburg Illinois 61401 ,1512 Knox Road 900 N Gilson Illinois 61436 
Land of Goshen Community Market,Goshen Market Foundation,Farmers Market,0393361,"Land of Goshen Community Market, St. Louis Street to  Second Street Edwardsville, IL, 62025 Street and parking lot Edwardsville Illinois 62025 ",PO Box 1030 Edwardsville Illinois 62025 
Quincy Farmers Market,The District,Farmers Market,0308955,128 N 5th St Quincy Illinois 62301 ,725 Hampshire St Quincy Illinois 62301 
Maryville Farmers Market Inc.,"Maryville Farmers Market, Inc.",Farmers Market,0636659,300 N Donk Ave Fireman's Park Maryville Illinois 62062 ,15 Willow Trl Collinsville Illinois 62234 
Remixing the Narrative Farmers Market,Burst Into Books,Farmers Market,0796932,11001 S. Michigan Avenue Chicago Illinois 60628 ,11001 S. Michigan Avenue Chicago Illinois 60628 
Village of Brighton Farmers Market,Village of Brighton Farmers Market,Farmers Market,0801166,414 N Maple St. Park Brighton Illinois 62012 ,206 S. Main St Brighton Illinois 62012 
