County,Percent of Households receiving SNAP,Number of Households receiving SNAP,Number of Households receiving SNAP and below the poverty level
Saline,25,2506,1277
Franklin,21.7,3521,1943
Marion,20.5,3136,1589
Gallatin,20.1,428,261
Pulaski,19.9,370,179
Perry,19.5,1578,863
Stephenson,19.1,3675,1732
Coles,18.8,3813,2102
Winnebago,18.3,21123,9650
Crawford,18,1355,541
Edgar,17.9,1349,576
Wabash,17.9,849,446
Jefferson,17.7,2585,1246
Knox,17.7,3647,2006
Alexander,17.6,313,208
Richland,17.5,1118,487
Ford,17.4,997,483
Macon,17.3,7506,3786
Jackson,17.2,3977,2128
Hardin,17.1,257,176
Vermilion,16.6,4937,2585
Kankakee,16.2,6524,2699
Peoria,15.7,11837,6096
Edwards,15.4,409,257
Mason,15.4,894,434
Rock Island,15.3,9299,4524
Logan,15.2,1672,618
White,15.2,867,479
Fulton,15.1,2100,1008
Hamilton,15.1,483,236
Morgan,15.1,1988,1052
Lawrence,15,818,321
Union,15,1002,597
Montgomery,14.8,1655,842
Fayette,14.7,1121,643
Lee,14.6,1969,1043
Pike,14.6,838,421
Cook,14.2,290776,124499
Greene,14.2,641,267
Pope,14.2,195,88
St. Clair,14.2,14220,6831
Sangamon,14.2,12029,6342
Macoupin,13.9,2458,1177
Bureau,13.8,1898,923
Williamson,13.8,3861,1940
Johnson,13.7,557,292
Bond,13.5,823,418
Livingston,13.5,1948,851
LaSalle,13.4,6035,3264
McDonough,13.4,1503,667
Warren,13.4,915,403
Wayne,13.4,909,476
DeWitt,13.2,876,404
Adams,13.1,3563,1559
Iroquois,13,1466,528
Massac,12.9,705,281
Whiteside,12.9,2998,1441
Madison,12.8,13850,6264
Scott,12.6,244,120
Effingham,12.4,1753,743
Christian,12.3,1675,652
DeKalb,11.8,4610,2298
Clay,11.7,639,376
Boone,11.5,2179,735
Cass,11.5,575,266
Hancock,11.5,849,468
Jasper,11.5,430,249
Mercer,11.5,732,407
Stark,11.1,250,137
Randolph,10.7,1231,575
Champaign,10.6,8670,3541
Marshall,10.6,519,293
Menard,10.6,544,211
Clark,10.5,670,300
Henry,10.5,2121,1179
Kane,10.5,19063,7010
Brown,10.3,206,131
Washington,10.3,598,204
Tazewell,10.1,5447,2340
Douglas,10,761,327
Shelby,9.6,844,344
McLean,9.5,6449,3509
Jersey,9,700,182
Ogle,9,1868,638
Will,8.9,21134,7144
Carroll,8.8,553,254
Clinton,8.7,1247,524
Grundy,8.7,1763,549
Henderson,8.4,226,90
Lake,8.4,21215,7528
Kendall,8.3,3579,878
Moultrie,8.2,470,267
Jo Daviess,7.8,781,350
Calhoun,7.5,96,31
Cumberland,7.5,311,130
Schuyler,7.5,201,102
Putnam,7.2,166,78
Woodford,6.6,974,303
DuPage,6.2,21700,6601
McHenry,6.2,7136,2623
Piatt,5.9,395,119
Monroe,4.3,579,229
